title,url,postDate,hood,description,compensation
python and javascript developers needed,https://sfbay.craigslist.org/pen/sof/d/san-francisco-python-and-java/7499593361.html,2022-06-21 19:36, (remote),"
        
            
            
        
We are an early-stage startup looking to change the way people everywhere #GetOutAndLive. Our team of developers, data scientists and AI specialists has built a groundbreaking mobile app that helps people find unique things to do that match their interests and values, not just the popular stuff. We have excellent traction with industry stakeholders, and our product is in market now.

We are seeking a back end python engineer with significant Django experience to help us build our back end service layer, and a front end React Native mobile engineer to help accelerate our mobile efforts.

These positions are:
- remote (but most team members are Bay Area based)
- compensated purely with equity (no cash) until we get funded (we are aiming for later this year to get funded and pay salaries)

Why join MOPO? We have a robust team with a great vibe, experienced (i.e. adult) leadership and a key market opportunity in the social travel space. If you are interested in exploring an early growth opportunity with generous early-stage stock option compensation, please drop us a line. We'd love to hear from you!
    ",stock options only until we get funded
Information Technology Project Manager II,https://sfbay.craigslist.org/sby/sof/d/salinas-information-technology-project/7499531101.html,2022-06-21 16:13, (santa clara),"
        
            
            
        
County of Monterey, Information Technology Department
IT Project Manager II

Salary, plus a comprehensive benefits package (including PERS Pension):
•	IT Project Manager II ($8,008 - $10,939 / Monthly)

Apply by: Deadline of July 10, 2022. 

The Monterey County, Information Technology Department (ITD) consists of four (4) operational Divisions: Administration; Applications & Customer Support; Infrastructure & Operations; and Information Security. ITD resources are operated and maintained in a manner that supports high availability for utilization and minimizes the risk of business interruption. ITD's focus is on developing a sustainable, customer focused environment to enhance and improve the quality of technology services used by County departments for the benefit of all Monterey County residents, businesses, and visitors. View summary of ITD services here:  https://www.youtube.com/watch?v=GxxvqH7lb-Y

The ITD, Administration Division seeks a seasoned IT Project Management professional to plan, organize, communicate, and manage a variety of IT projects to meet customer expectations within agreed-upon time, within budget, and with measurable business quality and stakeholder benefits.

The Eligible List established by this recruitment may be used to fill current and future vacancies on a regular full-time, part-time, or temporary basis.

This classification is part of a flexible series. Incumbents appointed at the lower level of the career series may be promoted up to the higher level of the career series subject to their meeting the employment standards for the higher class and a recommendation for their promotion by the appointing authority in accordance with the Flexible Staffing Program and Guidelines.

Interested applicants may apply on-line at: https://www.governmentjobs.com/careers/montereycounty . 
ITD website: https://www.co.monterey.ca.us/government/departments-i-z/information-technology .

EOE
    ","$8,008 - $10,939 (Monthly) Plus a comprehensive benefits package, including PERS Pension."
Production Engineer | $75.00 - $86.00 per hour,https://sfbay.craigslist.org/pen/sof/d/burlingame-production-engineer-per-hour/7499409040.html,2022-06-21 11:49, (burlingame),"
        
            
            
        

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/92b00b9f/apply


 HireArt is helping the world’s largest social network find a Production Engineer to maintain production-ready systems/services that support the test/release of a hardware product foundational to one of the company's flagship applications.   As a Production Engineer, you will: Ensure a reasonable level of automation.Take on first-level escalation for any issues/errors that arise during normal operations.Join a team of 10+ systems engineers who have built tools and processes over many years which are in various states of automation. Benefits: Pre-tax commuter benefitsEmployer (HireArt) Subsidized healthcare benefitsFlexible Spending Account for healthcare-related costsHireArt covers all costs for short and long term disability and life insurance401k package

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/92b00b9f/apply


Requirements
Bachelors in Computer Science or equivalent experience3+ years experience as a Software or DevOps/DevSecOps engineerPython experience working in collaborative software engineeringGit SCM experience and code reviewing Good-to-have skills: Intrinsic motivation to learn new thingsProject planning experienceEmbedded systems experience   Commitment:This is a full-time, 12-month contract position staffed via HireArt and based onsite in Burlingame, CA. It is available to candidates who are local to the Bay Area.   HireArt values diversity and is an Equal Opportunity Employer. We are interested in every qualified candidate who is eligible to work in the United States. Unfortunately, we are not able to sponsor visas or hire corp-to-corp. 

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/92b00b9f/apply



    ",$75.00 - $86.00 per hour
3D Artist | $54.00 - $61.00 per hour,https://sfbay.craigslist.org/pen/sof/d/burlingame-3d-artist-per-hour/7499408911.html,2022-06-21 11:49, (burlingame),"
        
            
            
        

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/81511ddf/apply



 HireArt is helping the world’s largest social network hire a 3D Artist to create backgrounds, scene transitions and/or characters. We’re looking for candidates who have a high level of creativity and are able to communicate their ideas to both internal and external clients. You should also be flexible to client demands, work well under pressure, and have the ability to multi-task.   As a 3D Artist, you will: Plan, analyze, and create 2D/3D visual solutions to animation projects.Provide conceptual character design, key art, and sculpt 3d concept models.Prepare storyboards and ideations to prepare for the creative art director.Create three dimensional models, animations, and visual effects. Benefits: Pre-tax commuter benefitsEmployer (HireArt) Subsidized healthcare benefitsFlexible Spending Account for healthcare-related costsHireArt covers all costs for short and long term disability and life insurance401k package

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/81511ddf/apply


Requirements
2+ years experience in AAA game development, film/vfx or high end VRCreativity, verbal/written communication skills and problem solving abilityAbility to utilize various software e.g. Blender, Maya, Substance, ZBrush, etc. Experience creating computer generated layouts and new imagesExperience with Adobe publishing and graphics softwareExperience in effects is a plus Commitment: This is a full-time, 6-month contract position staffed via HireArt. It will be available to candidates local to the Burlingame, CA; Los Angeles, CA; San Diego, CA; New York, NY and Houston, TX areas.HireArt values diversity and is an Equal Opportunity Employer. We are interested in every qualified candidate who is eligible to work in the United States. Unfortunately, we are not able to sponsor visas or employ corp-to-corp. 

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/81511ddf/apply



    ",$54.00 - $61.00 per hour
"Senior Full-stack Engineer | $140,000 - $180,000 per year",https://sfbay.craigslist.org/sfc/sof/d/san-francisco-senior-full-stack/7499408879.html,2022-06-21 11:48, (potrero hill),"
        
            
            
        

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/3506e90b/apply


HireArt is looking for a Senior Full-stack Engineer to help architect and implement features in our Rails back-end and React front-end. 

In this role, you'll also contribute to our R&D effort, working with domain experts to incorporate their knowledge and experience into the web app.

We're open to both fully remote employees based in North America as well as in-person work at our office in New York, NY (once reopened).

Our tech stack includes Rails, React, GraphQL, some Redux, Postgres, Git, and Heroku. Each engineer has ownership over specific product verticals, and we enlist each other's help to get things shipped. We like to have thoughtful group discussions on a range of topics, from software architecture to company strategy. We make sure every voice is heard and every opinion is considered.



If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/3506e90b/apply


Requirements


5+ years of professional programming experience
3+ years of professional experience with Ruby on Rails (or a similar MVC framework)
Are comfortable in at least one modern Javascript front-end framework (ideally React)
Are interested in the hiring process and are excited about improving it
Are a strong communicator, both synchronously and asynchronously
Are excited about being a part of (and fostering) an engineering culture that embraces collaborative exploration in the pursuit of robust, scalable solutions




Commitment:This is a full-time (40 hours per week) position. We are open to both fully remote employees as well as in-person work at our office in New York, NY (once reopened). The ability to accommodate typical Eastern Standard Time (EST) working hours is preferred.

HireArt values ​​​​diversity and is an Equal Opportunity Employer. We are interested in every qualified candidate in North America. Applicants residing in the United States must be authorized to work in the United States. Unfortunately, we are not able to sponsor visas.

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/3506e90b/apply

    ","$140,000 - $180,000 per year"
"Senior Full-stack Engineer | $140,000 - $180,000 per year",https://sfbay.craigslist.org/sfc/sof/d/san-francisco-senior-full-stack/7499408860.html,2022-06-21 11:48, (potrero hill),"
        
            
            
        

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/3506e90b/apply


HireArt is looking for a Senior Full-stack Engineer to help architect and implement features in our Rails back-end and React front-end. 

In this role, you'll also contribute to our R&D effort, working with domain experts to incorporate their knowledge and experience into the web app.

We're open to both fully remote employees based in North America as well as in-person work at our office in New York, NY (once reopened).

Our tech stack includes Rails, React, GraphQL, some Redux, Postgres, Git, and Heroku. Each engineer has ownership over specific product verticals, and we enlist each other's help to get things shipped. We like to have thoughtful group discussions on a range of topics, from software architecture to company strategy. We make sure every voice is heard and every opinion is considered.



If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/3506e90b/apply


Requirements


5+ years of professional programming experience
3+ years of professional experience with Ruby on Rails (or a similar MVC framework)
Are comfortable in at least one modern Javascript front-end framework (ideally React)
Are interested in the hiring process and are excited about improving it
Are a strong communicator, both synchronously and asynchronously
Are excited about being a part of (and fostering) an engineering culture that embraces collaborative exploration in the pursuit of robust, scalable solutions




Commitment:This is a full-time (40 hours per week) position. We are open to both fully remote employees as well as in-person work at our office in New York, NY (once reopened). The ability to accommodate typical Eastern Standard Time (EST) working hours is preferred.

HireArt values ​​​​diversity and is an Equal Opportunity Employer. We are interested in every qualified candidate in North America. Applicants residing in the United States must be authorized to work in the United States. Unfortunately, we are not able to sponsor visas.

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/3506e90b/apply

    ","$140,000 - $180,000 per year"
Hiring Software Engineers (Senior/Staff/Principal),https://sfbay.craigslist.org/sfc/sof/d/san-francisco-hiring-software-engineers/7499402173.html,2022-06-21 11:35," (San Francisco, CA)","
        
            
            
        
WHO WE ARE

As seen on TechCrunch, Forbes, and Bloomberg, join one of fastest growing areas in FinTech by taking on the credit system. 

Work directly with one of Inc.’s top female founders and learn from some of the most talented people in the industry. Headquartered in San Francisco, Tomo’s mission is to replace the outdated credit system and open access to banking. 

We value passionate, down to earth, “can do” people who enjoy fine-tuning small details, without losing sight of the big picture. We are looking for someone who is driven to get things done and views obstacles as an exciting challenge that demands a creative solution. You are a self-starter with a high degree of rigor, organization, and discipline to get things done. Above all else, this role requires someone who takes great pride in their work and is inspired and motivated by their role in improving the way millions of people build their financial future.

THE ROLE

We're looking for an experienced Sr./Staff/Principal level Software Engineers with strong system building skills to join our small and creative team. Being a member of a small team means you'll have many responsibilities and own multiple projects. Ideal candidate is comfortable working in a fast-paced, creative and collaborative environment.

Plus, since you would be joining us early in our journey, you will be intimately involved in every aspect of the product with a significant say when it comes to technical decisions. You'll own projects from concept to completion and be working alongside talented software engineers in executing your projects.

WHAT YOU'LL BE DOING

Work with the design and product teams to launch new features
Own a project from start to finish (we value responsible engineers with strong work ethic)
Assist our support team with technical issues (we are small and want to make sure our users love us)
Help QA our releases to ensure they’re ready to ship (to ensure we have a truly amazing product)

WHAT YOU'LL NEED

Several years of working experience in Node.js (minimum 4-6 years)
Strong Javascript skills
Bachelor of Science (or equivalent experience) in Computer Science or a related field
Experience with AWS services (EC2, EBS, RDS, Cloudwatch, Lambda)
Experience working with Postgres (or any SQL database)
Experience with building RESTful and GraphQL APIs.
Natural ability to diagnose and debug complex technical issues
Strong written and verbal communication skills
Track record in building relationships and integrations with tech partners
Yearning to learn new skills, tech, tools.
Bonus: Experience with Apollo framework
Bonus: Experience in fintech is highly valuable.
Your creativity and ability to think out of the box.
Your passion in building cool cutting-edge products.

WHY TOMOCREDIT?

Make a huge impact on the future of credit. Be mentored by some of the most seasoned FinTech executives from Square, Lending Club, and American Express, or build your own path. We want people to build their career here because they love the people they work with. Help contribute and build a strong culture because that’s what we care about. That’s why we have generous benefits: Salary, Equity, Insurance, Flexible Vacation Policy and Company-sponsored outings are just a few great things Tomo has to offer. We’re also pet friendly!

OTHER BENEFITS/PERKS:

Competitive Salary!
Insurance: Medical, Dental and Vision benefits.
Equity: We're growing rapidly, and we want to share our future success/ financial upside with you. We offer an above-average ownership stake in TomoCredit for all employees.
Flexible vacation policy: We trust that you know how to manage your time wisely so you can finish your work on time without burnout. Within that trust, we offer a flexible vacation policy.
Company-sponsored outings: This is the best outlet to get to know each other outside work.


At Tomo diversity is important to us so all qualified applicants will receive consideration for employment without regards to race, color, religion, sex, age, national origin, protected veteran status, disability status, sexual orientation, gender identity or expression, marital status, genetic information, or any other characteristic protected by law.
    ",Competitive Salary
Software Engineer - Remote Optional,https://sfbay.craigslist.org/sfc/sof/d/san-francisco-software-engineer-remote/7499284679.html,2022-06-21 08:00, (city of san francisco),"
        
            
            
        
Signup on Hired to find your dream job (remote work available) as a Software Engineer at one of 10,000+ companies looking for jobseekers just like you.Companies on Hired apply to you! You'll receive salary and compensation details up front - before the interview. By crafting a profile on Hired, we're confident that you'll find a job you'll love!Software Engineers continue to be one of the most exciting and sought after developer jobs available. Engineers code websites or applications on both the server and the user-facing side. It is a role that fuses both creative and practical concerns, as these engineers are responsible for everything the website user encounters, including scrolling functions and graphics, as well as crafting the logic, database interactions and server configuration on the application's Backend.In addition to programming the various features of server-side and user-side applications, software engineers are encouraged to upgrade and maintain both the Backend and Front-end as needed. As new technologies emerge and platforms are expanded, the role will likely transform to suit these changes.We need Software Engineering jobseekers on Hired who are results-oriented, multifaceted and can work independently or in a team environment, to get the job done. Common ResponsibilitiesThe development and maintenance of client-side and server-side applications.Working with a team of web developers, marketing teams and engineers to ensure the right look and vital features are included in your work.Crafting tests that will be implemented to keep software functional.Stay on top of growing technologies and engineering trends.Skills & Experiences Our Employers Need4+ Years of experience with Backend web development.4+ Years experience with Frontend web development.Proficiency with HTML and CSS.Code using languages such as JavaScript, Core MVC, and ASP.NET.An adroitness with SQL, Ruby, Ruby on Rails, Java for Front-End and Backend programming, Go Language, Swift, Docker, Azure, AngularJS and Angular 2.Building and accessing databases with NoSQL and Node.js.Understanding the ins-and-outs of HTTP protocols, developer tools, SSL certificates and web application architecture.Keeping track of changes made to code with Git version control system.These Would Also Be NiceGood communication skills.Thriving as a member of a team.Understanding the needed technology for web development.Keeping business needs in mind.Are you ready to find your next opportunity with Hired? Click here to apply. 
    ",To be determined.
EFS Senior Business Systems Analyst - Confidential - County of Sonoma,https://sfbay.craigslist.org/nby/sof/d/santa-rosa-efs-senior-business-systems/7499093638.html,2022-06-20 16:25, (santa rosa),"
        
            
            
        
The Sonoma County Auditor-Controller-Treasurer-Tax Collector's Office seeks an experienced EFS Senior Business Systems Analyst to join our team!

Starting salary up to $56.58/hour ($118,089/year), an additional $0.90/hour ""Confidential"" premium on top of the hourly pay rate, plus a cash allowance of approximately $600/month*

The Auditor-Controller-Treasurer-Tax Collector (ACTTC) Office provides a broad range of quality accounting, financial reporting, auditing, collection, financing, and investing services to County departments, agencies, districts, and the public. Its mission is to provide reliable and relevant financial services in an efficient, ethical, and effective manner to the citizens of Sonoma County while promoting fiscal responsibility and accountability. The Office is comprised of nine divisions, which are overseen by an executive management team that includes the Auditor-Controller-Treasurer-Tax Collector and three Assistants. ACTTC is staffed by 107 full-time employees and has an annual budget of approximately $167 million.

Reporting directly to the Enterprise Financial System (EFS) Manager, the EFS Senior Business Systems Analyst (SBSA) has lead functional oversight of the County’s main financial accounting and reporting platforms: PeopleSoft Financials and Supply Chain Management, Sql Server Reporting Services and SimplerEFS reporting application, as well as the responsibility for understanding the capabilities of these applications. As an EFS SBSA, you will work with staff from the County Auditor Controller’s office, General Services Purchasing, and fiscal officers in all County departments to understand their financial accounting and reporting business needs. Combining your functional and technical knowledge with your understanding of the software applications, you will work to develop technological solutions and will sometimes partner with information technology professionals to develop system enhancements.
 
As an EFS SBSA your responsibilities will also include:
 
Utilizing knowledge of County policies, procedures, and business practices to understand organizational needs, and recommend more effective technology solutions in PeopleSoft, SSRS, and SimplerEFS
Functional oversight/support of the technical configuration changes needed in PeopleSoft Financials and Supply Change Management applications
Oversight of functional duties associated with researching, analyzing, designing, configuring, testing and maintaining PeopleSoft Financials and Supply Change Management applications 
Being a liaison between end users and IT professionals to implement required system changes and improvements, including convening and leading focus and power user groups comprised of many departmental representatives
Serving in a lead role for large scale countywide initiatives that impact County financial systems, or rely upon data contained within the systems
Remaining up-to-date on emerging technology changes to ensure that EFS systems are being utilized optimally to meet the needs of the County, and recommending when and what types of technical changes are necessary for the stable functioning of applications
 
The ideal candidate for this position will possess a familiarity and experience working with financial industry professionals, preferably in the public sector, and a proven ability to learn and oversee the maintenance and enhancement of software applications.

Additionally, the ideal candidate will also have:

Experience effectively working in a collaborative team-oriented environment, with the self-motivation to successfully work independently
The ability to read, interpret, comprehend, and apply complex technical and functional materials appropriately
Experience with enterprise or departmental application support including PeopleSoft Financial and Supply Chain Management
Ability to discuss and effectively communicate business processes, technical solutions, and information to non-technical individuals
Strong written and verbal communication skills

What We Offer

When you join the County of Sonoma, you become part of a challenging and rewarding work environment where you gain the satisfaction of knowing you're working to better your community. You can also look forward to flexible work arrangements and excellent benefits* including:

A hybrid telework schedule that meets the needs of our staff, department operations, and the communities we serve
Eligibility for a salary increase after 1,040 hours (6 months when working full-time) for good work performance; eligibility for a salary increase for good performance every year thereafter, until reaching the top of the salary range
County paid 100% premium contribution for the majority of employee-only and employee + family health plan options
An annual Staff Development/Wellness Benefit allowance of up to $1,700 and ongoing education/training opportunities
Competitive vacation and sick leave accruals, 12 paid holidays, and an additional 8 floating holiday hours per year
County contribution to a Health Reimbursement Arrangement to help fund post-retirement employee health insurance/benefits
Retirement fully integrated with Social Security
May be eligible for up to 8 weeks (320 hours) of Paid Parental Leave after 12 months of County employment

*Salary is negotiable within the established range and benefits described herein do not represent a contract and may be changed without notice. For more information, including minimum qualifications, & to apply, visit www.yourpath2sonomacounty.org or call 707-565-2331. The County of Sonoma is an Equal Opportunity Employer. We value diversity and are committed to having a workforce that is representative of the communities we serve. Apply by 7/11/22
    ","$8,096 - $9,840/Monthly"
Software Engineer (Multiple Openings),https://sfbay.craigslist.org/sfc/sof/d/san-francisco-software-engineer/7499017252.html,2022-06-20 13:35, (city of san francisco),"
        
            
            
        
Maplebear Inc. D/B/A Instacart seeks Software Engineer in San Francisco, California (multiple openings).

Responsibilities: Design, build, and implement software solutions to optimize and scale the Instacart platform. Duties include: developing software systems using innovative computer science and software engineering principles; analyzing and optimizing expensive SQL queries; testing and analysis of existing technology, including performance analysis, and troubleshooting; determining design solutions to problematic programming; integrating new features and updates to ensure optimal performance and continued scalability as the company grows; and other duties as assigned. Employee may be stationed anywhere in the continental United States but will report directly to Instacart headquarters in San Francisco, CA.

Education: Bachelor’s degree in Computer Science, Software Engineering, Electrical Engineering, Information Technology, or related field (or foreign equivalent).

Requirements: 2 years of experience in the job offered or related. Other special requirements include: 2 years of experience working with Java, Ruby, Python, or similar programming languages; 2 years of experience working with MySQL, PostgreSQL, NoSQL, or similar data management systems; 2 years of experience working with client/server architectures and application architectures; and 2 years of experience working with codebases on cross-functional teams.

Qualified applicants must mail resumes to Instacart, Attn: HR – Global Mobility, 50 Beale Street, Suite 600, San Francisco, CA 94105 quoting job #SEB317.
    ",Will discuss with applicant.
Senior Product Designer (Multiple Openings),https://sfbay.craigslist.org/sfc/sof/d/san-francisco-senior-product-designer/7499013359.html,2022-06-20 13:28, (city of san francisco),"
        
            
            
        
Maplebear Inc. D/B/A Instacart seeks Senior Product Designer in San Francisco, California (multiple openings).

Responsibilities: Move fluidly between user experience, interactive functionalities, and visual design to enhance and extend the Instacart experience. Duties include: designing, prototyping, and editing interface language, layout orientations, product nomenclature, and other UI/UX elements; developing and testing conceptual designs and systematic product flows to optimize and improve interactive features; defining design standards, user requirements, and brand-building guidelines to deliver elegant and cohesive user experiences across a four-sided marketplace; working cross-functionality with research, data science, and engineering to identify new opportunities; and other duties as assigned. Employee may be stationed anywhere in the continental United States but will report directly to Instacart headquarters in San Francisco, CA. 

Education: Bachelor’s degree in Design, Visual Communications, Human-Computer Interaction, or related (or foreign equivalent).

Requirements: 2 years of experience in the job offered or related. Other special requirements include: 2 years of experience working with Sketch, Figma, Principle, or similar design tools; 2 years of experience developing wireframes, prototypes, flow diagrams, storyboards, mockups, and site maps; 2 years of experience researching, evaluating, and defining user requirements, brand-building guidelines, and design strategies for large scale software products; and 2 years of experience working with UX/UI design across multiple platforms, including web, mobile, and desktop.

Qualified applicants must mail resumes to Instacart, Attn: HR – Global Mobility, 50 Beale Street, Suite 600, San Francisco, CA 94105 quoting job #SBD317.
    ",Will discuss with applicant.
Senior Mobile Engineer (Multiple Openings),https://sfbay.craigslist.org/sfc/sof/d/san-francisco-senior-mobile-engineer/7499011901.html,2022-06-20 13:25, (city of san francisco),"
        
            
            
        
Maplebear Inc. D/B/A Instacart seeks Senior Mobile Engineer in San Francisco, California (multiple openings).

Responsibilities: Responsible for building flexible and intuitive applications for large scale mobile platforms. Duties include: designing and developing well-architected apps, balancing a sense of urgency and speed with shipping high quality solutions; writing shared libraries and responsive layouts; documenting application specifications and development protocols to rapidly roll out upgrades and new features; ongoing testing and analysis of software, including independent performance analysis, diagnosis, and troubleshooting; determining design solutions to problematic programming; mentoring lower-level mobile engineers as needed; and other duties as assigned. Employee may be stationed anywhere in the continental United States but will report directly to Instacart headquarters in San Francisco, CA. 

Education: Master’s* degree in Computer Science, Software Engineering, Information Technology, or related (or foreign equivalent).

Requirements: 2 years* of experience in the job offered or related. Other special requirements include: 2 years of experience working with automated testing frameworks; 2 years of experience developing client/server architectures and application architectures; 2 years of experience working with Java, Swift or Kotlin; and 2 years of experience working with Android or iOS SDK.

*In lieu of a Master’s degree in Computer Science, Software Engineering, Information Technology, or related (or foreign equivalent) and 2 years of experience in the job offered or related, employer will accept a Bachelor’s degree in Computer Science, Software Engineering, Information Technology, or related (or foreign equivalent) and 5 years of progressive, post-baccalaureate experience in the job offered or related.

Qualified applicants must mail resumes to Instacart, Attn: HR – Global Mobility, 50 Beale Street, Suite 600, San Francisco, CA 94105 quoting job #SRME17.
    ",Will discuss with applicant.
Product Manager (Multiple Openings),https://sfbay.craigslist.org/sfc/sof/d/san-francisco-product-manager-multiple/7498997880.html,2022-06-20 13:00, (city of san francisco),"
        
            
            
        
Maplebear Inc. D/B/A Instacart seeks Product Manager in San Francisco, California (multiple openings).

Responsibilities: Lead the design, build, and implementation of high-functioning solutions and product roadmaps to support a four-sided marketplace. Duties include: independently executing the design, development, and integration of innovative features and design techniques to optimize and scale various components of the Instacart platform; analyzing current systems, industry trends, and business requirements to inform short- and long-term development roadmaps; partnering with engineering, data science, research, marketing, and other cross-functional teams to drive strategy and execution; monitoring and communicating product development timelines, benefits, results, and key metrics to internal and external stakeholders; and performing other duties as assigned. Employee may be stationed anywhere in the continental United States but will report directly to Instacart headquarters in San Francisco, CA. 

Education: Bachelor’s degree in Computer Science, Software Engineering, Information Technology, or related field (or foreign equivalent).

Requirements: 2 years of experience in the job offered or related. Other special requirements include: 2 years of experience working with cross-functional teams to design and develop large-scale software products; 2 years of experience developing relevant metrics and KPIs to measure performance for product teams; 2 years of experience working with data analysis and experimentation techniques including simulation and A/B testing; 2 years of experience using SQL or similar analytical tools to extract meaningful user insights; and 2 years of experience presenting insights and recommendations on product performance, strategy, and initiatives to management or executive team members.

Qualified applicants must mail resumes to Instacart, Attn: HR – Global Mobility, 50 Beale Street, Suite 600, San Francisco, CA 94105 quoting job #APM017.
    ",Will discuss with applicant.
Senior Engineering Manager (Multiple Openings),https://sfbay.craigslist.org/sfc/sof/d/san-francisco-senior-engineering/7498993723.html,2022-06-20 12:52, (city of san francisco),"
        
            
            
        
Maplebear Inc. D/B/A Instacart seeks Senior Engineering Manager in San Francisco, California (multiple openings).

Responsibilities: Lead a team of full-stack engineers in the design and development of innovative features and scalable infrastructure for world class e-commerce experiences. Duties include: analyzing existing technology to define technical and user requirements and establishing short- and long-term development goals; designing and executing engineering roadmaps that balance cost and efficiency and making tradeoffs based on business needs throughout the development lifecycle; developing and implementing design protocols and best practices to optimize and scale engineering workflows; building strategic partnerships with vendors and integrating new technologies to drive quality, efficiency, and speed in the build and launch of new features; participating in hiring, onboarding, and mentorship of new engineers as needed; and other duties as assigned. Employee may be stationed anywhere in the continental United States but will report directly to Instacart headquarters in San Francisco, CA.  

Education: Master’s* degree in Computer Science, Mathematics, Software Engineering, or similar technical field (or foreign equivalent).

Requirements: 2 years* of experience in the job offered or related. Other special requirements include: 2 years of experience working with Java, Ruby, Python, or similar programming languages; 2 years of experience working with MySQL, PostgreSQL, NoSQL, or similar data management systems; 2 years of experience working with client/server architectures and application architectures; 2 years of experience working with large codebases on cross-functional teams; and 2 years of experience managing software engineering teams or development projects.

*In lieu of a Master’s degree in Computer Science, Mathematics, Software Engineering, or similar technical field (or foreign equivalent) and 2 years of experience in the job offered or related, employer will accept a Bachelor’s degree in Computer Science, Mathematics, Software Engineering, or similar technical field (or foreign equivalent) and 5 years of progressive, post-baccalaureate experience in the job offered or related.

Qualified applicants must mail resumes to Instacart, Attn: HR – Global Mobility, 50 Beale Street, Suite 600, San Francisco, CA 94105 quoting job #SEM017.
    ",Will discuss with applicant.
"Trust & Safety Director, Fraud",https://sfbay.craigslist.org/sfc/sof/d/san-francisco-trust-safety-director/7498974313.html,2022-06-20 12:17, (city of san francisco),"
        
            
            
        
Maplebear Inc. D/B/A Instacart seeks Trust & Safety Director, Fraud in San Francisco, California.

Responsibilities: Lead the development and management of large-scale information systems with ownership across Customer Fraud (chargebacks, promotional abuse, etc.), Shopper Fraud (incentive, transactional, and referral abuse), Identity Fraud (ID verification, duplicate accounts, etc.), and other areas of risk related to fraud and identity (ATO, phishing, etc.). Duties include: analyzing technical protocols, workflows, and database infrastructures to identify vulnerabilities and determine upgrades needed to optimize issue resolution and minimize costs; integrating data-driven solutions to detect fraudulent activities in real-time and provide the highest level of integrity across a four-sided marketplace; establishing KPIs and leading multi-tiered teams in the execution of technical and analytical initiatives; and other duties as assigned. Employee may be stationed anywhere in the continental United States but will report directly to Instacart headquarters in San Francisco, CA.  

Education: Master’s* degree in Computer Science, Computer Engineering, or related field (or foreign equivalent).

Requirements: 2 years* of experience in the job offered or related. Other special requirements include: 2 years of experience working with Python, R, or similar programming languages; 2 years of experience developing data-driven policies and strategies for preventing and mitigating risk in online marketplace; 2 years of experience in the design, development, implementation, and execution of decision analytics to detect fraud and risk; and 2 years of experience managing cross-functional teams across data science, analytics, and other technical areas of fraud and information security.

*In lieu of a Master’s degree in Computer Science, Computer Engineering, or related field (or foreign equivalent) and 2 years of experience in the job offered or related, employer will accept a Bachelor’s degree in Computer Science, Computer Engineering, or related field (or foreign equivalent) and 5 years of progressive, post-baccalaureate experience in the job offered or related.

Qualified applicants must mail resumes to Instacart, Attn: HR – Global Mobility, 50 Beale Street, Suite 600, San Francisco, CA 94105 quoting job #TSDF17.
    ",Will discuss with applicant.
